Area,Yield,Temperature,Precipitaion,Humidity,Soil_type:_chalky,Soil_type:_clay,Soil_type:_loamy,Soil_type:_peaty,Soil_type:_sandy,Soil_type:_silt,Soil_type:_silty
6700,5600,23.956,16.34,26,0,1,0,0,0,0,0
9600,10300,23.9487,16.2508,34,0,1,0,0,0,0,0
11500,12500,24.0121,47.3158,35,0,0,1,0,0,0,0
11600,12700,24.1121,35.1796,45,0,1,0,0,0,0,0
11800,14700,24.312,23.209,55,0,0,1,0,0,0,0
11900,13600,24.0231,9.9302,65,0,1,0,0,0,0,0
11400,13900,24.021,27.8136,40,0,1,0,0,0,0,0
20700,17500,23.2536,11.8746,58,0,0,0,0,0,0,1
35500,60500,23.3912,29.0894,84,0,1,0,0,0,0,0
35500,67000,23.0148,9.8568,70,0,1,0,0,0,0,0
21600,32300,23.8924,36.684,35,0,0,0,0,0,0,1
23700,42300,24.1324,22.2358,33,0,0,0,0,0,0,1
28900,52400,24.0082,4.3706,29,0,0,0,0,0,0,1
30500,47800,23.564,23.9846,85,0,1,0,0,0,0,0
26500,18300,23.645,4.319,87,0,1,0,0,0,0,0
26100,27000,23.847,8.0586,20,0,1,0,0,0,0,0
58200,82500,24.121,30.8122,36,0,0,0,0,0,0,1
593,1185,24.351,14.11,43,0,1,0,0,0,0,0
47400,70000,23.598,12.681,54,0,1,0,0,0,0,0
46000,93900,23.958,31.1298,33,0,1,0,0,0,0,0
53800,92700,23.456,50.2822,52,0,1,0,0,0,0,0
41100,67900,24.123,23.8542,80,0,0,0,0,0,0,1
36100,53600,24.234,27.3182,79,0,1,0,0,0,0,0
59000,73900,23.571,3.9404,40,0,1,0,0,0,0,0
73500,95500,23.914,10.2422,79,0,0,0,0,0,0,1
28100,10200,23.774,51.9268,54,0,0,0,0,1,0,0
32700,20800,23.8826,20.6762,34,0,0,0,0,1,0,0
34200,24200,23.5864,26.6764,36,0,0,1,0,0,0,0
22900,15200,24.1724,14.6656,23,0,0,1,0,0,0,0
24500,19300,24.5316,7.3514,50,0,0,1,0,0,0,0
20400,12000,24.4052,22.2012,47,0,0,0,0,1,0,0
31500,19600,24.324,7.2722,30,0,0,0,0,0,0,1
21300,12000,24.5124,8.3802,48,0,0,1,0,0,0,0
29500,22100,23.98745,27.2892,24,0,0,0,0,0,0,1
34100,24900,23.969,41.015,51,0,0,1,0,0,0,0
30000,27500,24.0124,25.6692,36,0,0,0,0,0,0,1
25700,16700,24.8575,19.1342,35,0,0,0,0,1,0,0
34300,36800,24.5462,38.6634,51,0,0,1,0,0,0,0
22100,27100,23.8741,34.6954,38,0,0,1,0,0,0,0
22400,26700,24.124,19.1486,44,0,0,1,0,0,0,0
25600,28600,24.54,8.1814,44,0,0,0,0,1,0,0
24200,17800,23.958,30.3526,32,0,0,0,0,0,0,1
18000,23700,22.8184,40.0492,39,0,0,0,0,0,0,1
19200,26300,22.8716,5.7688,48,0,0,0,0,0,0,1
12600,17000,22.4246,25.584,34,0,0,0,0,1,0,0
8800,8900,22.9606,11.323,36,0,0,0,0,0,0,1
11300,13400,22.9996,1.1432,23,0,0,0,0,1,0,0
14100,17600,23.0222,13.4654,50,0,0,0,0,0,0,1
17500,28000,22.546,2.6158,47,0,0,0,0,1,0,0
22000,38800,22.32145,7.5798,30,0,0,0,0,0,0,1
22200,35800,22.9848,15.0996,48,0,0,0,0,0,0,1
28000,44100,22.6878,7.9932,24,0,0,0,0,0,0,1
360,862,22.7865,10.8172,51,0,0,0,0,0,0,1
21300,36500,22.647,17.6784,36,0,0,0,0,0,0,1
28800,59100,22.789,17.622,35,0,0,0,0,1,0,0
30300,65300,22.985,13.9788,51,0,0,0,0,0,0,1
34300,78600,22.3124,21.2754,38,0,0,0,0,1,0,0
37500,82400,22.514,5.9784,44,0,0,0,0,1,0,0
47200,77500,22.617,1.308,44,0,0,0,0,1,0,0
36000,65700,22.459,5.9785,32,0,0,0,0,1,0,0
1400,1000,24.3958,49.9568,39,0,0,0,0,1,0,0
1300,1200,24.499,23.9216,31,0,0,0,0,0,0,1
1000,600,23.9898,29.2804,20,0,0,1,0,0,0,0
1000,600,24.6558,11.8062,29,0,0,0,0,1,0,0
1000,800,24.8906,7.4244,29,0,0,0,0,1,0,0
1000,800,24.7492,7.4244,26,0,0,0,0,0,0,1
900,600,24.3958,33.0362,33,0,0,0,0,1,0,0
600,300,24.499,10.0562,39,0,0,1,0,0,0,0
1000,800,23.9898,10.046,21,0,0,0,0,1,0,0
1200,1200,24.6558,29.3722,52,0,0,1,0,0,0,0
900,800,24.8906,36.8972,24,0,0,0,0,0,0,1
1100,900,24.7492,31.5016,42,0,0,1,0,0,0,0
1100,1000,23.546,20.5066,48,0,0,0,0,1,0,0
700,800,24.561,37.4084,31,0,0,0,0,0,0,1
500,600,24.325,42.4738,29,0,0,0,0,1,0,0
500,700,23.541,18.2914,33,0,0,0,0,1,0,0
1200,1200,24.8741,13.497,55,0,0,1,0,0,0,0
45100,58400,22.9308,9.6288,22,0,0,0,0,0,0,1
3700,2400,23.5128,6.8448,58,0,0,0,0,0,0,1
4400,3100,24.0296,26.7146,31,0,0,0,0,1,0,0
3800,2400,23.939,7.8588,27,0,0,0,0,1,0,0
3700,2900,24.621,8.5154,20,0,0,0,0,1,0,0
2300,1600,23.954,16.875,60,0,0,0,0,1,0,0
3600,2400,24.758,37.0666,51,0,0,0,0,0,0,1
3200,1900,22.9308,15.5982,44,0,0,0,0,0,0,1
2100,1500,23.5128,15.28,30,0,0,0,0,1,0,0
2400,1700,24.0296,40.134,60,0,0,0,0,0,0,1
2700,2000,23.939,31.8018,43,0,0,0,0,0,0,1
2100,1600,24.125,21.3392,24,0,0,0,0,0,0,1
1900,1800,23.789,10.7096,42,0,0,0,0,0,0,1
1700,1100,23.987,26.015,58,0,0,0,0,1,0,0
2400,1500,24.0123,13.0362,20,0,0,0,0,1,0,0
34800,54600,24.7466,26.5674,53,0,1,0,0,0,0,0
40800,64800,25.008,7.2458,32,0,1,0,0,0,0,0
43500,67300,24.7984,31.9074,39,0,1,0,0,0,0,0
39000,60900,24.8714,5.2844,41,0,1,0,0,0,0,0
28500,39000,24.65,9.0222,49,0,0,1,0,0,0,0
42600,65700,25.0012,38.8984,60,0,1,0,0,0,0,0
51600,86300,24.958,23.4206,34,0,0,1,0,0,0,0
371,713,24.317,22.0678,41,0,1,0,0,0,0,0
20300,27700,24.985,42.7612,36,0,0,1,0,0,0,0
19300,25300,24.627,43.0968,4,0,0,1,0,0,0,0
34400,57200,24.7466,28.6832,43,0,0,1,0,0,0,0
36000,64200,25.008,27.5822,23,0,1,0,0,0,0,0
37600,52300,24.7984,3.8366,35,0,0,1,0,0,0,0
77200,74200,25.11,12.324,40,0,1,0,0,0,0,0
49500,33000,24.654,15.8218,35,0,1,0,0,0,0,0
34000,45000,23.3424,32.6526,26,0,0,0,0,0,0,1
43800,72200,23.4468,6.3032,34,0,0,0,0,0,0,1
46900,88300,23.0008,28.6452,35,0,0,1,0,0,0,0
22600,31600,23.6762,14.473,45,0,0,0,0,0,0,1
23800,39300,23.795,1.976,55,0,1,0,0,0,0,0
27700,53200,23.7566,14.7282,65,0,1,0,0,0,0,0
33000,61500,23.5421,3.185,40,0,1,0,0,0,0,0
38400,77700,23.9854,7.367,58,0,0,0,0,0,0,1
36200,66800,23.456,18.0032,43,0,1,0,0,0,0,0
50800,111900,23.481,9.5352,35,0,0,0,0,0,0,1
526,1377,23.68,10.6468,27,0,0,0,0,0,0,1
31600,64600,23.3424,18.5116,43,0,1,0,0,0,0,0
50900,110000,23.4468,31.4254,84,0,0,1,0,0,0,0
66000,164600,23.0008,15.3686,65,0,0,0,0,0,0,1
25900,60200,23.6762,20.844,45,0,0,0,0,0,0,1
25300,53000,23.795,4.8484,65,0,0,0,0,0,0,1
25300,64800,23.7566,11.5688,45,0,1,0,0,0,0,0
49600,81100,23.74,4.4158,84,0,1,0,0,0,0,0
21600,14800,23.8436,31.9362,53,0,0,0,0,0,0,1
30400,43200,23.8246,10.9348,45,0,0,0,0,0,0,1
30200,42200,23.4992,42.34,43,0,0,1,0,0,0,0
24300,60200,24.3296,19.252,66,0,0,0,0,0,0,1
28400,41600,24.7112,4.7436,22,0,1,0,0,0,0,0
27600,44000,24.437,28.7518,37,0,1,0,0,0,0,0
18400,24000,24.6554,4.7386,74,0,1,0,0,0,0,0
19500,27400,24.9824,8.1722,65,0,0,0,0,0,0,1
23900,34200,23.146,42.086,45,0,1,0,0,0,0,0
34100,54800,23.685,18.3264,42,0,0,0,0,0,0,1
241,458,24.274,13.1274,38,0,0,0,0,0,0,1
17900,29800,23.8436,36.432,35,0,1,0,0,0,0,0
21500,40100,23.8246,47.337,45,0,0,1,0,0,0,0
30900,51600,23.4992,28.038,55,0,0,0,0,0,0,1
20700,29000,24.3296,29.5774,65,0,0,0,0,0,0,1
6500,2900,24.7112,6.1554,40,0,0,0,0,0,0,1
9800,13700,24.437,14.6522,58,0,1,0,0,0,0,0
1900,1500,23.647,9.8218,43,0,1,0,0,0,0,0
6300,10100,24.5968,39.3296,35,0,1,0,0,0,0,0
7300,13400,24.1324,19.6038,27,0,0,1,0,0,0,0
7600,15200,24.5774,44.6942,43,0,0,1,0,0,0,0
8400,15000,24.0086,6.954,84,0,1,0,0,0,0,0
8500,16600,24.654,4.2564,65,0,1,0,0,0,0,0
8500,15200,24.6848,30.838,45,0,0,1,0,0,0,0
8600,17400,24.5968,9.4964,65,0,1,0,0,0,0,0
9200,19400,24.1324,38.0976,45,0,0,1,0,0,0,0
9900,20100,24.5774,49.3448,84,0,0,1,0,0,0,0
9300,19400,24.0086,40.844,53,0,1,0,0,0,0,0
105,251,24.654,32.1944,45,0,1,0,0,0,0,0
9600,23800,24.6848,42.0102,43,0,0,1,0,0,0,0
7900,18000,24.151,36.5752,66,0,0,1,0,0,0,0
8600,22800,24.352,29.7192,22,0,1,0,0,0,0,0
8500,21100,24.9542,51.9384,37,0,1,0,0,0,0,0
9100,20000,24.692,20.712,74,0,1,0,0,0,0,0
16600,41700,24.325,34.3864,65,0,0,1,0,0,0,0
6800,15100,24.0124,24.5686,45,0,1,0,0,0,0,0
19700,8600,24.855,33.746,42,0,1,0,0,0,0,0
27500,30100,24.7532,15.013,38,0,0,1,0,0,0,0
28300,26700,24.3446,47.6166,35,0,0,1,0,0,0,0
25400,26000,24.885,14.4458,45,0,0,1,0,0,0,0
27300,24400,25.1046,12.9734,55,0,0,0,0,0,0,1
24800,25800,24.8558,34.3248,65,0,0,1,0,0,0,0
26500,18300,24.855,9.253,40,0,1,0,0,0,0,0
27000,27500,24.7532,10.7514,58,0,0,1,0,0,0,0
33100,38900,24.3446,40.1908,43,0,1,0,0,0,0,0
35600,37400,24.885,45.2166,35,0,0,0,0,0,0,1
380,564,25.1046,45.9508,27,0,0,0,0,0,0,1
28600,33500,24.8558,46.1456,43,0,0,0,0,0,0,1
25800,27800,24.5154,42.1932,84,0,1,0,0,0,0,0
33500,46000,24.682,41.6582,65,0,1,0,0,0,0,0
29100,43300,25.652,27.5016,45,0,1,0,0,0,0,0
31000,47300,25.248,8.886,65,0,0,1,0,0,0,0
35200,44900,25.6921,29.2976,45,0,0,0,0,0,0,1
47200,10800,24.689,16.2492,84,0,1,0,0,0,0,0
55900,20400,23.092,50.4328,53,0,0,1,0,0,0,0
61700,67900,23.5238,25.4156,45,0,0,0,0,0,0,1
62600,70900,23.3798,26.2664,43,0,0,1,0,0,0,0
32400,33400,24.057,14.402,66,0,0,0,0,0,0,1
30600,32900,24.5146,7.7184,22,0,0,1,0,0,0,0
31000,32500,24.472,21.3348,37,0,0,0,0,0,0,1
35000,43200,23.6421,6.268,74,0,0,0,0,0,0,1
31800,34700,24.686,7.6494,65,0,0,1,0,0,0,0
50200,55800,24.3272,18.7966,45,0,0,0,0,0,0,1
63900,74200,24.652,36.0476,42,0,0,1,0,0,0,0
40700,46000,24.6426,15.6004,38,0,0,0,0,0,0,1
57000,76700,23.9426,19.1208,35,0,0,1,0,0,0,0
75200,115700,24.2392,50.0902,45,0,0,0,0,0,0,1
79000,116400,23.6954,32.8866,55,0,0,0,0,0,0,1
80200,124800,23.8562,24.4528,65,0,0,1,0,0,0,0
86200,83100,24.82652,6.0844,40,0,0,1,0,0,0,0
88500,110600,24.3825,24.1666,58,0,0,0,0,0,0,1
14900,9200,24.3,10.9078,43,0,0,0,0,0,0,1
29500,35900,24.3758,25.3784,35,0,0,1,0,0,0,0
33400,39100,23.9694,15.277,27,0,0,0,0,0,0,1
26100,28200,24.7042,34.9258,43,0,1,0,0,0,0,0
26700,34700,24.9606,25.9488,84,0,1,0,0,0,0,0
30400,40800,24.664,9.887,65,0,1,0,0,0,0,0
31500,43500,24.5725,31.011,45,0,0,0,0,0,0,1
31600,38500,23.9824,7.7904,65,0,0,1,0,0,0,0
37700,38300,24.6826,9.7356,45,0,0,1,0,0,0,0
40100,49900,24.3828,37.8902,84,0,1,0,0,0,0,0
227,345,23.616,30.1252,53,0,0,1,0,0,0,0
19800,27000,24.3758,35.9682,45,0,0,1,0,0,0,0
19100,19800,23.9694,42.1888,43,0,1,0,0,0,0,0
49000,82700,24.7042,40.0424,66,0,0,1,0,0,0,0
31100,54100,24.9606,34.5776,22,0,1,0,0,0,0,0
30400,43500,24.664,5.1354,37,0,0,0,0,0,0,1
38900,43800,24.5865,18.8684,74,0,0,0,0,0,0,1
39500,29200,23.6825,18.5376,65,0,0,0,0,0,0,1
4300,2400,23.6768,10.9078,45,0,0,0,0,0,0,1
6000,5400,24.3048,19.8092,42,0,0,1,0,0,0,0
6400,7400,24.2244,8.2822,38,0,1,0,0,0,0,0
7900,10000,24.2972,0.858,35,0,1,0,0,0,0,0
9200,15200,23.6977,12.9408,45,0,0,1,0,0,0,0
10900,15200,23.8957,2.1644,55,0,1,0,0,0,0,0
12000,24300,24.6825,5.7598,65,0,1,0,0,0,0,0
14200,31600,24.9858,10.9874,40,0,0,1,0,0,0,0
148,380,23.6768,5.5676,58,0,0,0,0,0,0,1
9400,19900,24.3048,8.2148,43,0,1,0,0,0,0,0
21100,49700,24.2244,16.9656,35,0,1,0,0,0,0,0
22700,54300,24.2972,12.614,27,0,0,1,0,0,0,0
18000,48100,24.6825,14.9272,43,0,0,0,0,0,0,1
24000,50900,24.2347,16.8908,84,0,0,0,0,0,0,1
21500,45800,24.352,4.1666,65,0,0,1,0,0,0,0
21900,39100,23.9878,13.7928,45,0,1,0,0,0,0,0
73600,95100,23.8506,0.7916,85,0,0,0,0,0,0,1
83900,112200,23.7182,41.1766,87,0,0,0,0,0,0,1
85700,122600,23.3622,6.1534,20,0,0,0,0,0,0,1
39400,44500,23.6562,27.7342,36,0,0,1,0,0,0,0
36800,48900,24.2926,7.6874,43,0,0,1,0,0,0,0
35000,49500,23.8596,1.7728,54,0,0,1,0,0,0,0
35500,41300,23.8506,17.3228,33,0,0,0,0,0,0,1
55600,81300,23.7182,2.1096,52,0,0,0,0,0,0,1
70600,116600,23.3622,6.997,80,0,0,1,0,0,0,0
84100,137700,23.6562,24.9688,79,0,0,0,0,0,0,1
790,1490,24.2926,11.2084,40,0,0,0,0,0,0,1
71900,115900,23.8596,10.6306,79,0,0,1,0,0,0,0
73000,117900,23.9845,23.209,54,0,0,0,0,0,0,1
75300,143700,23.968471,15.0604,34,0,0,0,0,0,0,1
52400,102600,24.0124,18.1432,36,0,0,0,0,0,0,1
32400,53200,23.89855,24.5266,23,0,0,0,0,0,0,1
65900,111900,24.0001,6.9904,50,0,0,1,0,0,0,0
72400,111200,23.9987,19.3804,47,0,0,0,0,0,0,1
25400,9100,25.103,1.664,30,0,0,1,0,0,0,0
42200,45100,24.8866,40.4944,48,0,0,1,0,0,0,0
36200,28700,24.5222,16.6142,24,0,0,0,0,0,0,1
34500,34200,24.9576,52.2806,51,0,0,0,0,0,0,1
27000,25300,25.2064,8.0644,36,0,0,0,0,0,0,1
25800,28600,25.0026,12.6132,35,0,0,0,0,0,0,1
21900,4600,25.103,35.2414,51,0,0,0,0,0,0,1
25700,19900,24.8866,8.826,38,0,0,1,0,0,0,0
36300,36800,24.5222,11.6022,44,0,0,0,0,1,0,0
38600,33900,24.9576,42.3728,44,0,0,0,0,1,0,0
292,346,25.2064,45.7768,32,0,0,0,0,0,0,1
39800,42500,25.0026,44.4048,39,0,0,0,0,1,0,0
38600,39300,24.98858,46.2048,48,0,0,1,0,0,0,0
41800,43300,25.3571,42.0702,34,0,0,1,0,0,0,0
30300,37500,25.1012,41.7748,36,0,0,0,0,0,0,1
24200,11300,25.0142,31.7356,23,0,0,0,0,0,0,1
26700,41200,24.9828,11.0134,50,0,0,0,0,1,0,0
24100,7100,24.982,34.3636,47,0,0,0,0,1,0,0
38600,31400,23.9736,14.0676,30,0,0,1,0,0,0,0
74400,102900,23.9796,27.8334,48,0,1,0,0,0,0,0
41500,52200,23.6272,12.311,24,0,0,1,0,0,0,0
31900,41400,24.3544,41.0912,51,0,1,0,0,0,0,0
32300,48500,24.6396,21.3902,36,0,1,0,0,0,0,0
38000,53600,24.4478,7.329,35,0,0,1,0,0,0,0
39000,44500,23.9736,32.6348,51,0,1,0,0,0,0,0
33900,27800,23.9796,6.072,38,0,0,1,0,0,0,0
40900,47100,23.6272,9.2768,44,0,0,1,0,0,0,0
50400,70500,24.3544,39.8192,44,0,1,0,0,0,0,0
530,1022,24.6396,24.3852,32,0,0,1,0,0,0,0
34500,56100,24.4478,43.6734,39,0,1,0,0,0,0,0
32500,42800,24.2141,44.3724,31,0,1,0,0,0,0,0
46400,79500,24.01241,31.7748,20,0,1,0,0,0,0,0
39600,62500,24.1245,29.9194,29,0,0,1,0,0,0,0
13600,21400,24.3525,5.562,29,0,1,0,0,0,0,0
20900,23300,24.582,16.827,26,0,1,0,0,0,0,0
22300,18800,23.9985,6.4505,33,0,0,1,0,0,0,0
57300,71400,23.9892,49.832,39,0,0,0,0,0,0,1
68000,96000,23.602,9.9636,85,0,1,0,0,0,0,0
71800,125000,23.6728,43.3456,87,0,0,1,0,0,0,0
55500,57000,23.3448,2.774,20,0,0,0,0,0,0,1
59500,101200,23.971,4.992,36,0,0,0,0,0,0,1
64700,81900,24.0096,31.8174,43,0,1,0,0,0,0,0
38800,47500,23.9892,4.0292,54,0,0,1,0,0,0,0
52500,86900,23.985,9.2122,33,0,1,0,0,0,0,0
61300,112900,23.6728,53.4738,52,0,1,0,0,0,0,0
72900,132100,23.8784,26.33,80,0,0,1,0,0,0,0
734,1550,23.971,17.9882,79,0,1,0,0,0,0,0
60900,112300,24.0096,38.2936,40,0,1,0,0,0,0,0
59600,91800,24.101,23.3434,79,0,0,1,0,0,0,0
60000,115900,24.12334,30.4006,54,0,0,1,0,0,0,0
55300,105600,23.9828,36.4054,34,0,1,0,0,0,0,0
53000,93800,23.87258,12.3754,36,0,0,1,0,0,0,0
64300,129900,23.792,31.8602,23,0,1,0,0,0,0,0
71800,108300,24.014,4.6484,50,0,1,0,0,0,0,0
21400,27300,24.9829,44.1356,47,0,0,1,0,0,0,0
29000,43100,24.5648,18.56316,30,0,1,0,0,0,0,0
31000,57700,24.4466,47.7694,48,0,0,1,0,0,0,0
26300,44700,24.6152,5.0956,24,0,0,1,0,0,0,0
28900,50000,24.9394,7.4986,51,0,0,1,0,0,0,0
22400,28500,24.9788,35.3404,36,0,1,0,0,0,0,0
12600,20300,24.9829,13.115,35,0,1,0,0,0,0,0
29400,50200,24.5648,29.9896,51,0,0,1,0,0,0,0
26000,41700,24.4466,48.0716,38,0,1,0,0,0,0,0
29600,47700,24.6152,43.4702,44,0,0,1,0,0,0,0
298,584,24.9394,36.8396,44,0,0,1,0,0,0,0
24600,45300,24.9788,45.661,32,0,1,0,0,0,0,0
34300,57500,24.9829,40.5362,39,0,0,1,0,0,0,0
39300,72900,24.5648,36.3596,48,0,0,1,0,0,0,0
20000,34000,24.4466,47.9198,34,0,1,0,0,0,0,0
20100,36500,24.6152,18.339,36,0,0,1,0,0,0,0
26200,51500,24.9394,38.3928,23,0,0,1,0,0,0,0
32500,70900,24.9788,19.757,50,0,1,0,0,0,0,0
31900,46700,25.1142,54.723,47,0,0,1,0,0,0,0
35800,63100,24.6718,15.8006,30,0,0,1,0,0,0,0
37900,70200,24.5196,49.0376,48,0,0,0,0,0,0,1
32900,51600,24.7168,2.8464,24,0,0,0,0,0,0,1
35700,64900,25.0586,5.9594,51,0,0,0,0,0,0,1
35300,48700,25.1164,37.2128,36,0,0,1,0,0,0,0
23600,34100,25.1142,8.0738,35,0,0,1,0,0,0,0
38100,68300,24.6718,20.8438,51,0,0,1,0,0,0,0
39200,73500,24.5196,58.5256,38,0,0,1,0,0,0,0
43100,78100,24.7168,36.1714,44,0,0,1,0,0,0,0
433,940,25.0586,26.4202,44,0,0,1,0,0,0,0
40200,69100,25.1164,44.4474,32,0,0,0,0,0,0,1
42000,69000,24.6828,31.7816,39,0,0,1,0,0,0,0
43700,86500,24.682,35.6638,31,0,0,0,0,0,0,1
36600,67800,25.1241,45.8146,20,0,0,1,0,0,0,0
35000,58500,25.0124,17.3788,29,0,0,0,0,0,0,1
33800,62200,24.9824,38.8088,29,0,0,0,0,0,0,1
38300,61400,24.9682,11.5472,26,0,0,0,0,0,0,1
47400,37900,24.6776,44.4164,33,0,1,0,0,0,0,0
70900,85100,24.3618,15.8814,39,0,0,0,0,0,0,1
68600,81000,24.084,51.2438,37,0,0,1,0,0,0,0
50900,56000,24.4,4.7224,74,0,0,0,0,0,0,1
53700,62700,24.6742,11.1808,65,0,0,0,0,0,0,1
48400,61800,24.5532,35.7522,45,0,0,0,0,0,0,1
30800,13300,24.6776,10.2246,42,0,1,0,0,0,0,0
50100,56200,24.3618,16.4118,38,0,1,0,0,0,0,0
58900,69200,24.084,43.7014,35,0,0,1,0,0,0,0
69400,85900,24.4,45.1206,45,0,0,0,0,0,0,1
750,1103,24.6742,41.8006,55,0,0,1,0,0,0,0
62600,83800,24.5532,46.2974,65,0,0,0,0,0,0,1
80400,106000,24.6824,41.8904,40,0,0,1,0,0,0,0
87800,122900,24.935,40.4578,58,0,1,0,0,0,0,0
29300,34900,24.9824,36.9098,43,0,0,0,0,0,0,1
28800,21800,24.58474,13.7076,35,0,1,0,0,0,0,0
35700,35800,25.001,37.0666,27,0,0,1,0,0,0,0
42200,54600,24.6871,14.3076,43,0,1,0,0,0,0,0
100,100,23.9512,41.8078,84,0,0,0,0,0,0,1
100,100,24.0012,18.937,65,0,0,1,0,0,0,0
100,100,23.654,26.7146,45,0,0,1,0,0,0,0
100,100,23.145,18.4934,65,0,0,0,0,0,0,1
100,100,23.9512,6.8876,45,0,0,1,0,0,0,0
100,100,24.0012,21.0326,84,0,0,0,0,0,0,1
200,200,23.654,5.5586,53,0,0,1,0,0,0,0
200,200,23.145,7.377,45,0,0,1,0,0,0,0
200,200,24.0185,23.1862,43,0,0,1,0,0,0,0
100,100,23.9578,27.7986,66,0,0,1,0,0,0,0
100,100,24.0154,16.6572,22,0,0,1,0,0,0,0
100,200,24.1352,23.5486,37,0,0,1,0,0,0,0
100,100,24.252,47.8628,74,0,0,1,0,0,0,0
17200,5400,23.6156,41.8078,65,0,0,0,0,1,0,0
19100,20700,23.83,18.937,45,0,0,0,0,0,0,1
21000,25500,23.6184,26.7146,42,0,0,0,0,1,0,0
19300,22500,24.414,18.4934,38,0,0,0,0,0,0,1
18900,24700,24.8154,6.8876,35,0,0,0,0,0,0,1
19900,24100,24.676,21.0326,45,0,0,0,0,1,0,0
20700,25000,23.6156,5.5586,55,0,0,0,0,0,0,1
15500,18100,23.83,7.377,65,0,0,0,0,1,0,0
19000,24000,23.6184,23.1862,40,0,0,0,0,1,0,0
25300,37500,24.414,27.7986,58,0,0,0,0,1,0,0
19200,25000,24.8154,16.6572,43,0,0,0,0,1,0,0
23500,32400,24.676,23.5486,35,0,0,0,0,1,0,0
29500,49000,24.145,47.8628,27,0,0,0,0,0,0,1
23100,34400,24.6541,29.4564,43,0,0,0,0,0,0,1
23700,36000,23.9952,23.512,84,0,0,0,0,1,0,0
25700,33700,24.2521,3.8814,65,0,0,0,0,1,0,0
13700,19900,24.625,20.005,45,0,0,0,0,1,0,0
17600,19300,22.796,11.9104,85,0,0,0,0,0,0,1
12800,12400,24.3842,32.0978,87,0,0,0,0,1,0,0
15100,21300,23.6184,29.223,20,0,0,0,0,0,0,1
16300,20900,24.0032,5.7468,36,0,0,0,0,1,0,0
11900,14100,22.796,30.3828,43,0,0,0,0,1,0,0
3000,2200,24.3842,4.1708,37,0,0,0,0,0,0,1
11300,14500,23.6184,8.445,74,0,0,0,0,1,0,0
18800,27800,24.0032,39.626,65,0,0,0,0,0,0,1
346,705,24.3521,8.1252,45,0,0,0,0,1,0,0
16000,19300,24.3241,15.6864,42,0,0,0,0,1,0,0
15300,31700,24.256,14.4954,38,0,0,0,0,1,0,0
21900,35200,23.982,16.6572,35,0,0,0,0,1,0,0
20100,24600,24.0125,40.573,45,0,0,0,0,0,0,1
16900,27100,24.6852,48.5386,55,0,0,0,0,0,0,1
30900,50200,24.26,25.1322,65,0,0,0,0,0,0,1
30900,40800,24.6821,29.2184,40,0,0,0,0,1,0,0
18600,8700,23.7682,32.9542,58,0,0,1,0,0,0,0
21100,25500,23.9526,15.437,43,0,0,0,0,0,0,1
24200,28800,23.6212,26.8132,35,0,0,1,0,0,0,0
17100,18900,24.478,25.439,27,0,0,1,0,0,0,0
17100,19600,24.7904,6.8608,43,0,0,0,0,0,0,1
17600,18600,24.563,25.609,84,0,0,0,0,0,0,1
17600,20800,23.7682,5.4152,65,0,0,1,0,0,0,0
5100,5000,23.9526,8.2766,45,0,0,1,0,0,0,0
15900,15800,23.6212,32.9788,65,0,0,1,0,0,0,0
33100,37600,24.478,28.729,45,0,0,1,0,0,0,0
38000,41200,24.7904,32.4276,84,0,0,0,0,0,0,1
18000,20000,24.563,40.5846,53,0,0,1,0,0,0,0
41700,61400,24.58152,27.4774,45,0,0,1,0,0,0,0
34100,58500,24.682,23.9894,43,0,0,1,0,0,0,0
36100,64600,24.789,23.9894,66,0,0,0,0,0,0,1
34500,30700,24.854,3.593,22,0,0,1,0,0,0,0
29100,26800,24.647,17.4454,37,0,0,1,0,0,0,0
